trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
897,False,"{'a': 0.005, 'e': 0.011220643809589084}",25,17,14.608442126493545,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
898,False,"{'a': 0.005, 'e': 0.011164680615117259}",35,13,40.11108181899785,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
899,False,"{'a': 0.005, 'e': 0.011108996538242306}",20,11,17.871910222267086,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
900,False,"{'a': 0.005, 'e': 0.011053590186859403}",25,14,17.513809269988702,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
901,False,"{'a': 0.005, 'e': 0.010998460175806881}",25,12,29.301905975490154,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
902,False,"{'a': 0.005, 'e': 0.01094360512683159}",25,16,15.323998925642616,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
903,False,"{'a': 0.005, 'e': 0.01088902366855444}",20,13,14.97827806264749,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
904,False,"{'a': 0.005, 'e': 0.010834714436436152}",25,10,28.531283014511057,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
905,False,"{'a': 0.005, 'e': 0.010780676072743084}",20,12,12.34249091697614,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
906,False,"{'a': 0.005, 'e': 0.010726907226513326}",20,3,27.952017321046206,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
907,False,"{'a': 0.005, 'e': 0.010673406553522925}",30,11,30.82265922374303,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
908,False,"{'a': 0.005, 'e': 0.01062017271625227}",25,6,33.982826027370386,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
909,False,"{'a': 0.005, 'e': 0.010567204383852655}",25,20,7.7703439479427825,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
910,False,"{'a': 0.005, 'e': 0.010514500232113012}",20,0,25.829997236109094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
911,False,"{'a': 0.005, 'e': 0.010462058943426795}",30,19,20.713994710276623,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
912,False,"{'a': 0.005, 'e': 0.01040987920675907}",20,8,22.52321647549494,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
913,False,"{'a': 0.005, 'e': 0.010357959717613696}",30,10,40.7013743979891,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
914,False,"{'a': 0.005, 'e': 0.01030629917800074}",20,9,21.79207882620623,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
